vname,columnid,measure,year,value
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2016,1668002900.37
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2017,1668002887.565068
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2018,1686555999.98
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2019,1823692200.01
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2020,1563993923.21
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2021,2247450899
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2022,2601034199.9994316
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2016,1668002999.9538386
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2017,1668003000.0328221
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2018,1686555999.98
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2019,1823691613
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2020,1563993932.03
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2021,2247450899
mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),cash,2022,2601034199.9994316
pbt,Petroleum Business Tax (PBT),accrual,2016,634112597.09
pbt,Petroleum Business Tax (PBT),accrual,2017,606013000
pbt,Petroleum Business Tax (PBT),accrual,2018,632800000
pbt,Petroleum Business Tax (PBT),accrual,2019,649100000
pbt,Petroleum Business Tax (PBT),accrual,2020,503410700
pbt,Petroleum Business Tax (PBT),accrual,2021,525652998
pbt,Petroleum Business Tax (PBT),accrual,2022,598763121.1440253
pbt,Petroleum Business Tax (PBT),cash,2016,617455000
pbt,Petroleum Business Tax (PBT),cash,2017,617070850
pbt,Petroleum Business Tax (PBT),cash,2018,630700000
pbt,Petroleum Business Tax (PBT),cash,2019,648600000
pbt,Petroleum Business Tax (PBT),cash,2020,565110700
pbt,Petroleum Business Tax (PBT),cash,2021,584552984
pbt,Petroleum Business Tax (PBT),cash,2022,596884768.5199275
mrt1,MRT-1,accrual,2016,330084681.08
mrt1,MRT-1,accrual,2017,314425599.42999995
mrt1,MRT-1,accrual,2018,316575980.56
mrt1,MRT-1,accrual,2019,332018325.4
mrt1,MRT-1,accrual,2020,303372599.36
mrt1,MRT-1,accrual,2021,419261308.27000004
mrt1,MRT-1,accrual,2022,388174395.2396469
mrt1,MRT-1,cash,2016,327059928.67999995
mrt1,MRT-1,cash,2017,321882315.91
mrt1,MRT-1,cash,2018,308938580.51
mrt1,MRT-1,cash,2019,328299456.53
mrt1,MRT-1,cash,2020,307705183.59000003
mrt1,MRT-1,cash,2021,410309456.2300001
mrt1,MRT-1,cash,2022,395930501.0542709
mrt2,MRT-2,accrual,2016,130034096.96
mrt2,MRT-2,accrual,2017,138297309.18
mrt2,MRT-2,accrual,2018,131202515.81
mrt2,MRT-2,accrual,2019,135576325.07999998
mrt2,MRT-2,accrual,2020,161168398.54000002
mrt2,MRT-2,accrual,2021,238223445.76
mrt2,MRT-2,accrual,2022,230397980.93098938
mrt2,MRT-2,cash,2016,130497283.90999998
mrt2,MRT-2,cash,2017,139477974.57
mrt2,MRT-2,cash,2018,131600670.62999998
mrt2,MRT-2,cash,2019,133439004.99
mrt2,MRT-2,cash,2020,155028820.94
mrt2,MRT-2,cash,2021,237338336.66
mrt2,MRT-2,cash,2022,230767803.49771285
urban,Urban Tax,accrual,2016,771476268.609
urban,Urban Tax,accrual,2017,539132538.6
urban,Urban Tax,accrual,2018,699707124.871
urban,Urban Tax,accrual,2019,641349911.7
urban,Urban Tax,accrual,2020,352705335.3
urban,Urban Tax,accrual,2021,512748420.29999995
urban,Urban Tax,accrual,2022,574972035.8627826
urban,Urban Tax,cash,2016,811013894.3
urban,Urban Tax,cash,2017,585519143.0799999
urban,Urban Tax,cash,2018,656004627.9
urban,Urban Tax,cash,2019,668451037.5
urban,Urban Tax,cash,2020,377048736.9
urban,Urban Tax,cash,2021,429296634.90000004
urban,Urban Tax,cash,2022,652919247.8827827
pmt,Payroll Mobility Tax (PMT),accrual,2016,1361198999.76
pmt,Payroll Mobility Tax (PMT),accrual,2017,1450877000
pmt,Payroll Mobility Tax (PMT),accrual,2018,1424870904
pmt,Payroll Mobility Tax (PMT),accrual,2019,1646700979.7987998
pmt,Payroll Mobility Tax (PMT),accrual,2020,1526469525.2846713
pmt,Payroll Mobility Tax (PMT),accrual,2021,1715310341.1499999
pmt,Payroll Mobility Tax (PMT),accrual,2022,1781612064.554839
pmt,Payroll Mobility Tax (PMT),cash,2016,1372776999.9210522
pmt,Payroll Mobility Tax (PMT),cash,2017,1435622000
pmt,Payroll Mobility Tax (PMT),cash,2018,1482855127
pmt,Payroll Mobility Tax (PMT),cash,2019,1560497979.76
pmt,Payroll Mobility Tax (PMT),cash,2020,1560809961.78
pmt,Payroll Mobility Tax (PMT),cash,2021,1713220008.42
pmt,Payroll Mobility Tax (PMT),cash,2022,1781612064.554839
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2016,309250000
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2017,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2018,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2019,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2020,195400000
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2021,293100000
pmtoffset,Payroll Mobility Tax Replacement Funds,accrual,2022,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2016,309250000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2017,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2018,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2019,244250000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2020,195400000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2021,293100000
pmtoffset,Payroll Mobility Tax Replacement Funds,cash,2022,244250000
mtaaid,MTA Aid,accrual,2016,300311000
mtaaid,MTA Aid,accrual,2017,291908000
mtaaid,MTA Aid,accrual,2018,295944000
mtaaid,MTA Aid,accrual,2019,283463273.90999997
mtaaid,MTA Aid,accrual,2020,218867906.86
mtaaid,MTA Aid,accrual,2021,263925457.06
mtaaid,MTA Aid,accrual,2022,258948052.02872595
mtaaid,MTA Aid,cash,2016,300311000
mtaaid,MTA Aid,cash,2017,306203000
mtaaid,MTA Aid,cash,2018,272600000
mtaaid,MTA Aid,cash,2019,311021273.90999997
mtaaid,MTA Aid,cash,2020,248844393.97
mtaaid,MTA Aid,cash,2021,263345430.18
mtaaid,MTA Aid,cash,2022,258948052.02872595
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2016,NA
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2017,NA
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2018,0
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2019,336438379.26
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2020,222115256.98000002
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2021,248278281.23000002
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,accrual,2022,300000000
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2016,NA
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2017,NA
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2018,0
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2019,336438379.26
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2020,222115256.98000002
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2021,235810205.43
fhvsurcharge,For-Hire Vehicle (FHV) Surcharge,cash,2022,300000000
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2016,NA
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2017,NA
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2018,NA
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2019,73834414.53
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2020,176454132.15
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2021,374486855.65000004
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),accrual,2022,414671284.4481617
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2016,NA
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2017,NA
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2018,NA
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2019,58052947.95
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2020,176454132.15
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2021,374486855.65000004
mansion,Real Property Transfer Tax Surcharge (Mansion Tax),cash,2022,414671284.4481617
sutinternet,Internet Marketplace Tax - State,accrual,2016,NA
sutinternet,Internet Marketplace Tax - State,accrual,2017,NA
sutinternet,Internet Marketplace Tax - State,accrual,2018,NA
sutinternet,Internet Marketplace Tax - State,accrual,2019,85132025.66999999
sutinternet,Internet Marketplace Tax - State,accrual,2020,260000000.04000002
sutinternet,Internet Marketplace Tax - State,accrual,2021,344900450.62
sutinternet,Internet Marketplace Tax - State,accrual,2022,325623999.65999997
sutinternet,Internet Marketplace Tax - State,cash,2016,NA
sutinternet,Internet Marketplace Tax - State,cash,2017,NA
sutinternet,Internet Marketplace Tax - State,cash,2018,NA
sutinternet,Internet Marketplace Tax - State,cash,2019,85132025.66999999
sutinternet,Internet Marketplace Tax - State,cash,2020,260000000.04000002
sutinternet,Internet Marketplace Tax - State,cash,2021,344900450.62
sutinternet,Internet Marketplace Tax - State,cash,2022,325623999.65999997
pbt_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2016,59774426.460764095
sut_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2016,719763135.1515148
franchise_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2016,32439564.773472525
fransurcharge_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2016,856025773.9842483
pbt_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2017,59928738.36675832
sut_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2017,740296179.8246616
franchise_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2017,33940489.307575844
fransurcharge_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2017,833837480.0660723
pbt_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2018,55866082.529514365
sut_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2018,743302962.4689623
franchise_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2018,29353365.396863483
fransurcharge_mmtoa,Metropolitan Mass Transportation Operating Assistance (MMTOA),accrual,2018,858033589.5846599
